Date,Concert
"Sep 19, 2024",Live Filming Taratata - Bercy 40 ans Indochine / Shaka Ponk / Kassav' / Zazie / Zaz / Tryo / Patrick Hernandez / MCFLY & CARLITO / Ibrahim Maalouf / Patrick Bruel / Jean-Louis Aubert / Imagination / David Hallyday / Louise Attaque / Santa / Pascal Obispo / Vianney / Youssou N’Dour / Anaïs / Cali / Bénabar / Jenifer / Superbus / Anne Sila / Yuri Buenaventura / Noé Preszow / MC Solaar / Julien Clerc / Lucky Love / Helena Noguerra / Kimberose / Emma Peters / Stéphane / Lee John / Anaïs Croze / Mentissa / Calema / Black M / Alex Kapranos / Franz Ferdinand / Kalash / Ayo Show all bands Photos Setlists
"Sep 19, 2024",Taratata : 40 ans de Bercy Indochine / Shaka Ponk / Louise Attaque / Zazie / Cali / Jean Louis Aubert / Patrick Bruel / Vianney / David Hallyday / Youssou N'Dour / Imagination / Tryo / Pascal Obispo Setlists
"Jun 23, 2024",Karol G / DJ Agudelo888 Mañana Sera Bonito Tour Setlists
"Jun 22, 2024",Karol G / DJ Agudelo888 Mañana Sera Bonito Tour Setlists
"Jun 21, 2024",Doja Cat / hemlocke springs The Scarlet Tour Photos Setlists
"Jun 18, 2024",Green Day / The Interrupters The Saviors Tour Videos Photos Setlists
"Jun 16, 2024",The Smashing Pumpkins / Tom Morello The World Is A Vampire Setlists
"Jun 15, 2024",Olivia Rodrigo / Remi Wolf GUTS World Tour Videos Photos Setlists
"Jun 14, 2024",Olivia Rodrigo / Remi Wolf GUTS World Tour Photos Setlists
"Jun 13, 2024",Redouane Bougheraba REDOUANE BOUGHERABA
"Jun 12, 2024",Redouane Bougheraba REDOUANE BOUGHERABA
"Jun 09, 2024",Nicki Minaj PINK FRIDAY 2 WORLD TOUR Photos Setlists
"Jun 08, 2024",Star Academy / Santa / Eddy de Pretto / Vitaa / Jenifer / Maëlle Star Academy La Tournée Photos Setlists
"Jun 07, 2024",Klangkuenstler All night long
"Jun 05, 2024",Tool / Night Verses MMXXIV Photos Setlists
"Jun 04, 2024",IVE SHOW WHAT I HAVE Photos Setlists
"Jun 01, 2024",Nicki Minaj Pink Friday 2 Tour Videos Setlists
"May 29, 2024",Macklemore / DJ Bens / FRANGLISH / Ronisia Ibis Rock Corps Photos Setlists
"May 27, 2024",Eric Clapton Setlists
"May 26, 2024",Eric Clapton Photos Setlists
"May 25, 2024",Soolking Setlists
"May 22, 2024",J Balvin / Judeline / Willy William / DJ Pope Que Bueno Volver A Verte Tour Photos Setlists
"May 21, 2024",Thirty Seconds to Mars / Jagwar Twin Seasons World Tour Photos Setlists
"May 18, 2024",Kassav'
"May 15, 2024",Tenacious D / Crusade Spicy Meatball tour Photos Setlists
"May 12, 2024",Taylor Swift The Eras Tour Paris Setlists
"Apr 20, 2024",Black Eyed Peas Elevation World Tour Setlists
"Apr 11, 2024",The Blaze / CanBlaster
"Apr 10, 2024",Jeff Panacloc JEFF PANACLOC ADVENTURE
"Apr 06, 2024",Harlem Globetrotters
"Apr 05, 2024",Fun Radio Ibiza Experience 2024 Kungs / Meduza / Tchami x Malaa / Diplo / Martin Solveig / Upsilone / Mico C / Mayla K Photos
"Mar 31, 2024",PLK 140 Tour Setlists
"Mar 30, 2024",PLK Photos
"Mar 26, 2024",Stars 80
"Mar 25, 2024",Mika Apocalypse Calypso Tour Photos Setlists
"Mar 24, 2024",John Mayer / Madison Cunningham John Mayer Solo Photos Setlists
"Mar 23, 2024",Ne-Yo Setlists
"Mar 17, 2024",PLK 140 Tour Photos
"Mar 16, 2024",PLK / Lesram / Mister V / TIF / OBOY / Panama Bende 140 Tour
"Mar 15, 2024",Patrick Bruel
"Mar 14, 2024",Patrick Bruel Setlists
"Mar 10, 2024",Jeremy Ferrari JEREMY FERRARI
"Mar 09, 2024",Jeremy Ferrari JEREMY FERRARI
"Mar 08, 2024",Kid Cudi
"Mar 05, 2024",Depeche Mode / Suzie Stapleton Memento Mori World Tour Photos Setlists
"Mar 06, 2024",Depeche Mode Memento Mori Photos Setlists
"Mar 03, 2024",Depeche Mode / Suzie Stapleton Memento Mori World Tour Photos Setlists
"Mar 02, 2024",André Rieu ANDRE RIEU
"Mar 01, 2024",Slimane
"Feb 29, 2024",Kaaris / Kalash Criminel / Sch / Freeze Corleone / Xvbarbar OR NOIR - les 10 ans Videos Photos Setlists
"Feb 25, 2024",YE / Ty Dolla $ign Vultures Listening Experience Setlists
"Feb 24, 2024",Josman
"Feb 23, 2024",Josman
"Feb 17, 2024",Kaaris / Kalash Criminel Or Noir - Les 10 ans Setlists
"Feb 16, 2024",Maes
"Feb 15, 2024",Tayc / Dadju Tayc / Dadju at Accor Arena
"Feb 13, 2024",FRANGLISH
"Feb 12, 2024",Laura Pausini Setlists
"Jan 31, 2024",Davido DAVIDO
"Jan 26, 2024",Gala des Pièces Jaunes 2024 Pharrell Williams / Stray Kids / Maroon 5 / Gims / A$AP Rocky / J Balvin / Gautier Capuçon / Khatia Buniatishvili / LISA / Vianney / Zazie / DJ Snake / Christine and the Queens / Phoenix / Swae Lee / Rauw Alejandro / Nadine Sierra Photos Setlists
"Dec 22, 2025",Dinos Bercy Dinos 2025
"Dec 21, 2025",Dinos EGO Tour Setlists
"Dec 20, 2025",Marie S'Infiltre MARIE S'INFILTRE
"Dec 19, 2025",Monsieur Nov
"Dec 17, 2025",-M-
"Dec 16, 2025",Lamomali / Miki
"Dec 14, 2025",soprano / Carlton / Waly Dia Freedom Orchestral Show
"Dec 13, 2025",soprano
"Dec 12, 2025",soprano / Carlton / Alonzo Freedom Orchestral Show
"Dec 11, 2025",soprano / Carlton / Kendji Girac Freedom Orchestral Show Setlists
"Dec 09, 2025",Pierre Garnier / M Pokora / Joseph Kamel / Orelsan / Daysy / Bigflo & Oli Videos Photos
"Dec 07, 2025",Lara Fabian Setlists
"Dec 06, 2025",Amir Amir @ Accor Arena
"Dec 05, 2025",Monsieur Nov
"nov. 30, 2025",Gojira / Comeback Kid / Neckbreakker France 2025 Videos Photos Setlists
"nov. 29, 2025",Leto
"nov. 28, 2025",Sabaton / The Legendary Orchestra The legendary tour Photos Setlists
"nov. 27, 2025",Jamiroquai / Cerrone The Heels of Steel Tour Setlists
"nov. 26, 2025",La Femme / Sam Quealy / Tentative Setlists
"nov. 25, 2025",M Pokora M.POKORA Photos
"nov. 22, 2025",Lady Gaga The MAYHEM Ball Tour Photos Setlists
"nov. 21, 2025",Monsieur Nov
"nov. 20, 2025",Lady Gaga The MAYHEM Ball Tour Photos Setlists
"nov. 19, 2025",Simply Red 40th Anniversary Tour Videos Photos Setlists
"nov. 18, 2025",Lady Gaga The MAYHEM Ball Tour Setlists
"nov. 17, 2025",Lady Gaga The MAYHEM Ball Tour Setlists
"nov. 16, 2025",‐M‐ Lamomali Tour
"nov. 15, 2025",Julien Dore / Ben Mazué JULIEN DORE Setlists
"nov. 14, 2025",Julien Dore JULIEN DORE Setlists
"nov. 13, 2025",Benson Boone / Elliot James Reay American Heart World Tour Photos Setlists
"nov. 6, 2025",Drag Race France Live All Stars ! / Yelle / Marguerite Setlists
"nov. 5, 2025",Katy Perry / Becky Hill The Lifetimes Tour Photos Setlists
"nov. 4, 2025",Katy Perry / Becky Hill The Lifetimes Tour Setlists
"oct. 31, 2025",Tom Odell / Chance Peña / Matilda Mann The Wonderful Life Tour Photos Setlists
"oct. 30, 2025",Naza
"oct. 24, 2025",Katy Perry / Becky Hill The Lifetimes Tour Videos Photos Setlists
"oct. 11, 2025",Matmatah Setlists
"oct. 10, 2025",ONE OK ROCK / Paledusk Detox European Tour 2025 Photos Setlists
"oct. 9, 2025",Sting Photos Setlists
"oct. 8, 2025",Parcels / The Zenmenn Parcels @ Accor Arena Setlists
"oct. 7, 2025",OneRepublic / Ella Henderson Escape to Europe 2025 Tour Videos Photos Setlists
"Sep 08, 2025",Drake / Party Next Door
"Sep 07, 2025",Drake / Party Next Door Summer Tour Setlists
"Sep 03, 2025",ENHYPEN Walk The Line Tour Photos Setlists
"Aug 20, 2025",BLACKPINK FAKE
"Jul 13, 2025",NK Divine
"Jul 10, 2025",Vybz Kartel
"Jul 09, 2025",Black Eyed Peas / Adèle Castillon / Guy2bezbar / Cut Killer / DJ Bens / Attaching Boy Ibis Rockcorps Photos Setlists
"Jul 07, 2025",Nine Inch Nails / Boys Noize Peel It Back Tour Photos Setlists
"Jul 06, 2025",Diana Ross Setlists
"Jul 05, 2025",Chris Brown Breezy Bowl XX Setlists
"Jul 03, 2025",DJ Kore
"Jul 02, 2025",Rauw Alejandro
"Jun 29, 2025",Kylie Minogue Tension Tour Photos Setlists
"Jun 28, 2025",REMA
"Jun 27, 2025",Lionel Richie
"Jun 26, 2025",Lionel Richie Setlists
"Jun 25, 2025","Ado WORLD TOUR 2025 ""Hibana"" Setlists"
"Jun 24, 2025",Scorpions / Dirty Honey Coming Home - 60 Years Of Scorpions Setlists
"Jun 23, 2025",Santana Oneness 2025 Tour Photos
"Jun 21, 2025",Indochine / Melissa Auf der Maur Arena tour Setlists
"Jun 20, 2025",Indochine Indochine @ Accor Arena Setlists
"Jun 18, 2025",Indochine Setlists
"Jun 17, 2025",Indochine / Hinds Setlists
"Jun 14, 2025",Michel Polnareff
"Jun 13, 2025",Star Academy / Loic Nottet / Julien Lieb star ac tour 2025
"Jun 12, 2025",Pitbull / Shaggy / Dj Laz Party After Dark Setlists
"Jun 11, 2025",Billie Eilish / Lola Young HIT ME HARD AND SOFT: THE TOUR Videos Photos Setlists
"Jun 10, 2025",Billie Eilish / Lola Young HIT ME HARD AND SOFT: THE TOUR Videos Photos Setlists
"Jun 07, 2025",Kyo / kaky 20 ans 'Le Chemin' Photos Setlists
"Jun 01, 2025",Nelly / Eve / Fabolous / Jermaine Dupri
"May 31, 2025",Eric Clapton Setlists
"May 27, 2025",Tate McRae / BENEE Miss Possessive Tour Photos Setlists
"May 25, 2025",WIZKID
"May 14, 2025",Pink Martini Setlists
"May 13, 2025",Ghost Skeletour Photos Setlists
"May 11, 2025",The Outlaw / Boys Noize / Dillon Francis / Trym After The Finale Show - Dj Snake
"May 10, 2025",After Show The Final Show - After Party DJ Snake / Boys Noize / Devault / Dillon Francis / Flosstradamus / The Outlaw / Trym / Bellorum / Freakboy / Artlike
"May 02, 2025",Twenty One Pilots / Balu Brigada The Clancy World Tour Photos Setlists
"Apr 30, 2025",PlayStation: the concert
"Apr 28, 2025","Tyler, The Creator / Lil Yachty / Paris Texas CHROMAKOPIA: THE WORLD TOUR Photos Setlists"
"Apr 27, 2025","Tyler, The Creator / Paris Texas / Lil Yachty CHROMAKOPIA: THE WORLD TOUR Videos Photos Setlists"
"Apr 22, 2025",Concert Solidarité Congo Luse / GAELLE / Kultur (FR) / Gloria Bash / Bisso Na Bisso / Davinhor / Youssoupha / Singuila / Céline Banza / Soolking / Guy2bezbar / Didi B / Sidiki Diabaté / Moise Mbiye / Roseline Layo / Chily / merveille / Theodora (FR) / Fally Ipupa / GAZO / Level Santana / Gaz Mawete / Reddy Amisi / Brigade Sabatier / Dadju / Gims / DJ Merco / Kulturr / Megaski / Stefflon Don / Theodora / Ya Levis Show all bands Videos
"Apr 19, 2025",Kaytranada / Sango / Lou Phelps Timeless Tour
"Apr 18, 2025",Kaytranada
"Apr 16, 2025",Usher / Joé Dwèt Filé / DJ Wooz Setlists
"Apr 15, 2025",Usher Past Present Future
"Apr 13, 2025",CENTRAL CEE Can’t Rush Greatness World Tour Photos
"Apr 12, 2025",FRANGLISH Prime Tour
"Apr 11, 2025",FRANGLISH / merveille / Gradur / GAZO / RSKO Photos
"Apr 09, 2025",La Fouine / soprano / Youssoupha / canardo / zaho / El Grande Toto / Lossa / Wensly / Six Coups / Leck / Fababy / RK / J Mi Sissoko / Jackie Brown Setlists
"Apr 08, 2025",La Fouine / Lossa / Wensly / Youssoupha / Six Coups / Leck / canardo / Fababy / J Mi Sissoko / RK / zaho / Jackie Brown / El Grande Toto Setlists
"Apr 06, 2025",Julien Doré Setlists
"Apr 05, 2025",Julien Doré Setlists
"Apr 04, 2025",Fun Radio Ibiza Experience 2025 Dimitri Vegas / MORTEN / Showtek / Ofenbach / Robin Schulz / James Hype / Gims / DJ Elfigo / Mico C / Mayla K
"Apr 02, 2025",Limp Bizkit / Bones / Riff Raff / Ecca Vandal / N8NoFace / Karen Dió Loserville 2025 Videos Photos Setlists
"Mar 30, 2025",Tomorrow x Together TOMORROW X TOGETHER WORLD TOUR <ACT : PROMISE> - EP. 2 - IN EUROPE Videos Photos Setlists
"Mar 29, 2025",Saez SAEZ
"Mar 27, 2025",Tiakola Setlists
"Mar 26, 2025",Tiakola Videos Photos
"Mar 23, 2025",Maluma Maluma @ Accor Arena
"Mar 22, 2025",André Rieu ANDRE RIEU
"Mar 21, 2025",Fanny J
"Mar 18, 2025",Star Academy Star Academy Tour 2025 Setlists
"Mar 17, 2025",Sabrina Carpenter / Rachel Chinouriri Short n' Sweet Tour Photos Setlists
"Mar 16, 2025",Sabrina Carpenter / Rachel Chinouriri Short n' Sweet Tour Photos Setlists
"Mar 15, 2025",Kalash KALASH
"Mar 08, 2025",Ricky Gervais RICKY GERVAIS
"Mar 07, 2025",Clara Luciani Setlists
"Mar 06, 2025",Clara Luciani / Astral Bakers Setlists
"Mar 05, 2025",Ludovico Einaudi Setlists
"Feb 28, 2025",Cyndi Lauper Setlists
"Feb 27, 2025",Gracie Abrams / Dora Jar The Secret of Us Tour Videos Photos Setlists
"Feb 25, 2025",Sdm
"Feb 24, 2025",Sdm ALV ALM
"Feb 23, 2025",Pitbull / Lil Jon Party After Dark Tour Setlists
"Feb 22, 2025",Dinos EGO TOUR
"Feb 21, 2025",Dinos
"Feb 19, 2025",Lacrim
"Feb 18, 2025",Jok'Air
"Feb 04, 2025",Rohff
"Jan 24, 2025",After Show Dadju / Tiakola NBA Paris Jam 2025
"Jan 11, 2025",Pascal Obispo Setlists
"Jan 10, 2025",Calema / Black M / Mariza / Dino D' Santiago / Céphaz / Nuno Ribeiro Voyage Tour Photos
"Jan 09, 2025",Slimane
"Jan 08, 2025",Slimane Cupidon Tour Setlists
"Feb 11, 2026",Feu! Chatterton Setlists
"Feb 10, 2026",Feu! Chatterton Setlists
"Feb 04, 2026",Dave The Boy Who Played the Harp Photos
"Jan 19, 2026",Les Enfoirés
"Jan 18, 2026",Les Enfoirés Setlists
"Jan 17, 2026",Les Enfoirés
"Jan 14, 2026",Les Enfoirés
"Jan 13, 2026",Les Enfoirés
"Mar 11, 2026",Wu-Tang Clan Photos
"Mar 10, 2026",Lara Fabian
"Mar 09, 2026",le show d’une vie Pierre Niney / Loris Giuliano / Vegedream / Tayc / Sheryfa Luna / Naza / Gypsy Kings / Aminé
"Mar 07, 2026",Indochine Arena Tour Setlists
"Mar 06, 2026",Indochine Arena Tour Photos
"Mar 04, 2026",Indochine / Coach Party Arena Tour Setlists
"Mar 03, 2026",Indochine Arena Tour
"Feb 28, 2026",Indochine Arena Tour Setlists
"Feb 27, 2026",Indochine / Hinds Arena Tour Setlists
"Feb 25, 2026",Indochine Arena Tour Photos Setlists
"Feb 24, 2026",Indochine Setlists
"Feb 22, 2026",Florence + The Machine / Paris Paloma The Everybody Scream Tour Videos Photos Setlists
"Feb 21, 2026",Calema / Sara Correia / Anderson Mário / Franck Lenar / Montemarco International Origin Tour Photos
"Feb 20, 2026",Louane / Ebony / Héléna / -M- Matthieu Chedid Solo Tour Photos Setlists
"Feb 19, 2026",Clara Luciani / Sam Sauvage / Pomme / Yamê Setlists
"Feb 18, 2026",Clara Luciani / Sam Sauvage / Pierre De Maere Setlists
"Feb 16, 2026",Mika / Jack Garratt Photos Setlists
"Feb 15, 2026",RAYE / Absolutely / Amma This Tour May Contain New Music Photos Setlists
"Feb 14, 2026",Eros Ramazzotti Setlists
"Feb 12, 2026",Rilès Survival Tour Photos Setlists
